FECHA;HORA;LATITUD;LONGITUD;NUDOS;PRESION
sep-20;11:00 GMT;18.0;-65.9;155;917 
sep-20;12:00 GMT;18.2;-66.1;150;921 
sep-20;13:00 GMT;18.3;-66.3;145;927 
sep-20;14:00 GMT;18.4;-66.4;145;928 
sep-20;15:00 GMT;18.4;-66.5;140;930 
sep-20;18:00 GMT;18.5;-66.9;115;961 
sep-20;21:00 GMT;18.8;-67.3;110;957 
sep-21;00:00 GMT;18.9;-67.5;110;958 
sep-21;03:00 GMT;19.2;-67.9;110;959 
sep-21;06:00 GMT;19.4;-68.2;115;959 
sep-21;09:00 GMT;19.6;-68.4;115;959 
sep-21;12:00 GMT;19.9;-68.7;115;959 
sep-21;15:00 GMT;20.2;-69.1;115;960 
sep-21;18:00 GMT;20.4;-69.4;120;960 
sep-21;21:00 GMT;20.8;-69.8;120;960 
sep-22;00:00 GMT;20.9;-70.0;125;955 
sep-22;03:00 GMT;21.0;-70.2;125;955 
sep-22;06:00 GMT;21.2;-70.5;125;959 
sep-22;09:00 GMT;21.6;-70.6;125;959 
sep-22;12:00 GMT;21.9;-70.9;125;959 
sep-22;15:00 GMT;22.3;-71.0;125;958 
sep-22;18:00 GMT;22.8;-71.2;125;959 
sep-22;21:00 GMT;23.3;-71.4;125;959 
sep-23;00:00 GMT;23.8;-71.6;125;953 
sep-23;03:00 GMT;24.1;-71.7;125;954 
sep-23;06:00 GMT;24.4;-71.9;125;952 
sep-23;09:00 GMT;24.8;-72.0;120;952 
sep-23;15:00 GMT;25.4;-72.3;115;952 
sep-23;21:00 GMT;26.3;-72.5;115;950 
sep-24;03:00 GMT;27.0;-72.5;115;942 
sep-24;09:00 GMT;27.9;-72.7;110;948 
sep-24;15:00 GMT;28.7;-72.9;105;947 
sep-24;21:00 GMT;29.4;-73.0;105;941 
sep-25;00:00 GMT;29.7;-72.9;105;947 
sep-25;03:00 GMT;30.0;-73.0;90;950 
sep-25;06:00 GMT;30.2;-73.0;85;954 
sep-25;09:00 GMT;30.6;-73.0;80;957 
sep-25;12:00 GMT;30.8;-73.0;75;961 
sep-25;15:00 GMT;31.2;-72.9;80;963 
sep-25;18:00 GMT;31.4;-73.0;80;966 
sep-25;21:00 GMT;31.7;-73.1;80;965 
sep-26;00:00 GMT;32.0;-73.0;80;965 
sep-26;03:00 GMT;32.3;-73.1;80;969 
sep-26;06:00 GMT;32.6;-73.2;80;970 
sep-26;09:00 GMT;32.9;-73.1;75;970 
sep-26;12:00 GMT;33.3;-73.1;75;970 
sep-26;15:00 GMT;33.6;-73.1;75;971 
sep-26;18:00 GMT;33.8;-73.1;75;974 
sep-26;21:00 GMT;34.1;-73.0;70;974 
sep-27;00:00 GMT;34.6;-72.9;70;975 
sep-27;03:00 GMT;34.9;-72.9;70;975 
sep-27;06:00 GMT;34.8;-73.0;70;976 
sep-27;09:00 GMT;35.1;-72.9;70;976 
sep-27;12:00 GMT;35.4;-72.8;70;978 
sep-27;15:00 GMT;35.6;-72.6;75;978 
sep-27;18:00 GMT;35.9;-72.4;75;979 
sep-27;21:00 GMT;36.2;-72.1;75;979 
sep-28;00:00 GMT;36.5;-71.8;75;979 
sep-28;03:00 GMT;36.8;-71.5;75;979 
sep-28;09:00 GMT;36.8;-71.0;70;982 
sep-28;15:00 GMT;36.8;-69.3;70;982 
sep-28;21:00 GMT;36.8;-67.8;65;985 
sep-29;03:00 GMT;37.1;-65.5;65;985 
sep-29;09:00 GMT;37.2;-63.3;60;987 
sep-29;15:00 GMT;37.5;-60.1;60;988 
sep-29;21:00 GMT;37.8;-57.4;60;988 
sep-30;03:00 GMT;38.6;-53.9;60;988 
sep-30;09:00 GMT;39.6;-50.5;60;988 
sep-30;15:00 GMT;40.7;-47.2;60;989 
sep-30;21:00 GMT;42.0;-43.9;50;991 
