idpedido;cliente;idempleado;idempresa;importe;pais;porc_iva;iva;total
10305;OLDWO;8;3;257.62;Estados Unidos;0.21;54.10;311.72
10306;ROMEY;1;3;7.56;Espanya;0.21;1.59;9.15
10307;LONEP;2;2;0.56;Estados Unidos;0.21;0.12;0.68
10308;ANATR;7;3;1.61;Mexico;0.21;0.34;1.95
10309;HUNGO;3;1;47.30;Irlanda;0.21;9.93;57.23
10310;THEBI;8;2;17.52;Estados Unidos;0.21;3.68;21.20
10311;DUMON;1;3;24.69;Francia;0.21;5.18;29.87
10312;WANDK;2;2;40.26;Alemania;0.21;8.45;48.71
10313;QUICK;2;2;1.96;Alemania;0.21;0.41;2.37
10314;RATTC;1;2;74.16;Estados Unidos;0.21;15.57;89.73
10315;ISLAT;4;2;41.76;Reino Unido;0.21;8.77;50.53
10316;RATTC;1;3;150.15;Estados Unidos;0.21;31.53;181.68
10317;LONEP;6;1;12.69;Estados Unidos;0.21;2.66;15.35
10318;ISLAT;8;2;4.73;Reino Unido;0.21;0.99;5.72
10319;TORTU;7;3;64.50;Mexico;0.21;13.54;78.04
10320;WARTH;5;3;34.57;Finlandia;0.21;7.26;41.83
10321;ISLAT;3;2;3.43;Reino Unido;0.21;0.72;4.15
10322;PERIC;7;3;0.40;Mexico;0.21;0.08;0.48
10323;KOENE;4;1;4.88;Alemania;0.21;1.02;5.90
10324;SAVEA;9;1;214.27;Estados Unidos;0.21;45.00;259.27
10325;KOENE;1;3;64.86;Alemania;0.21;13.62;78.48
10326;BOLID;4;2;77.92;Espanya;0.21;16.36;94.28
10327;FOLKO;2;1;63.36;Suecia;0.21;13.31;76.67
10328;FURIB;4;3;87.03;Portugal;0.21;18.28;105.31
10329;SPLIR;4;2;191.67;Estados Unidos;0.21;40.25;231.92
10330;LILAS;3;1;12.75;Venezuela;0.21;2.68;15.43
10331;BONAP;9;1;10.19;Francia;0.21;2.14;12.33
10332;MEREP;3;2;52.84;Canada;0.21;11.10;63.94
10333;WARTH;5;3;0.59;Finlandia;0.21;0.12;0.71
10334;VICTE;8;2;8.56;Francia;0.21;1.80;10.36
10335;HUNGO;7;2;42.11;Irlanda;0.21;8.84;50.95
10336;PRINI;7;2;15.51;Portugal;0.21;3.26;18.77
10337;FRANK;4;3;108.26;Alemania;0.21;22.73;130.99
10338;OLDWO;4;3;84.21;Estados Unidos;0.21;17.68;101.89
10339;MEREP;2;2;15.66;Canada;0.21;3.29;18.95
10340;BONAP;1;3;166.31;Francia;0.21;34.93;201.24
10341;SIMOB;7;3;26.78;Dinamarca;0.21;5.62;32.40
10342;FRANK;4;2;54.83;Alemania;0.21;11.51;66.34
10343;LEHMS;4;1;110.37;Alemania;0.21;23.18;133.55
10344;WHITC;4;2;23.29;Estados Unidos;0.21;4.89;28.18
10345;QUICK;2;2;249.06;Alemania;0.21;52.30;301.36
10346;RATTC;3;3;142.08;Estados Unidos;0.21;29.84;171.92
10347;FAMIA;4;3;3.10;Brasil;0.21;0.65;3.75
10348;WANDK;4;2;0.78;Alemania;0.21;0.16;0.94
10349;SPLIR;7;1;8.63;Estados Unidos;0.21;1.81;10.44
10350;LAMAI;6;2;64.19;Francia;0.21;13.48;77.67
10351;ERNSH;1;1;162.33;Austria;0.21;34.09;196.42
10352;FURIB;3;3;1.30;Portugal;0.21;0.27;1.57
10353;PICCO;7;3;360.63;Austria;0.21;75.73;436.36
10354;PERIC;8;3;53.80;Mexico;0.21;11.30;65.10
10355;AROUT;6;1;41.95;Reino Unido;0.21;8.81;50.76
10356;WANDK;6;2;36.71;Alemania;0.21;7.71;44.42
10357;LILAS;1;3;34.88;Venezuela;0.21;7.32;42.20
10358;LAMAI;5;1;19.64;Francia;0.21;4.12;23.76
10359;SEVES;5;3;288.43;Reino Unido;0.21;60.57;349.00
10360;BLONP;4;3;131.70;Francia;0.21;27.66;159.36
10361;QUICK;1;2;183.17;Alemania;0.21;38.47;221.64
10362;BONAP;3;1;96.04;Francia;0.21;20.17;116.21
10363;DRACD;4;3;30.54;Alemania;0.21;6.41;36.95
10364;EASTC;1;1;71.97;Reino Unido;0.21;15.11;87.08
10365;ANTON;3;2;22.00;Mexico;0.21;4.62;26.62
10366;GALED;8;2;10.14;Espanya;0.21;2.13;12.27
10367;VAFFE;7;3;13.55;Dinamarca;0.21;2.85;16.40
10368;ERNSH;2;2;101.95;Austria;0.21;21.41;123.36
10369;SPLIR;8;2;195.68;Estados Unidos;0.21;41.09;236.77
10370;CHOPS;6;2;1.17;Suiza;0.21;0.25;1.42
10371;LAMAI;1;1;0.45;Francia;0.21;0.09;0.54
10372;QUEEN;5;2;890.78;Brasil;0.21;187.06;1077.84
10373;HUNGO;4;3;124.12;Irlanda;0.21;26.07;150.19
10374;WOLZA;1;3;3.94;Polonia;0.21;0.83;4.77
10375;HUNGC;3;2;20.12;Estados Unidos;0.21;4.23;24.35
10376;MEREP;1;2;20.39;Canada;0.21;4.28;24.67
10377;SEVES;1;3;22.21;Reino Unido;0.21;4.66;26.87
10378;FOLKO;5;3;5.44;Suecia;0.21;1.14;6.58
10379;QUEDE;2;1;45.03;Brasil;0.21;9.46;54.49
10380;HUNGO;8;3;35.03;Irlanda;0.21;7.36;42.39
10381;LILAS;3;3;7.99;Venezuela;0.21;1.68;9.67
10382;ERNSH;4;1;94.77;Austria;0.21;19.90;114.67
10383;AROUT;8;3;34.24;Reino Unido;0.21;7.19;41.43
10384;BERGS;3;3;168.64;Suecia;0.21;35.41;204.05
10385;SPLIR;1;2;30.96;Estados Unidos;0.21;6.50;37.46
10386;FAMIA;9;3;13.99;Brasil;0.21;2.94;16.93
10387;SANTG;1;2;93.63;Noruega;0.21;19.66;113.29
10388;SEVES;2;1;34.86;Reino Unido;0.21;7.32;42.18
10389;BOTTM;4;2;47.42;Canada;0.21;9.96;57.38
10390;ERNSH;6;1;126.38;Austria;0.21;26.54;152.92
10391;DRACD;3;3;5.45;Alemania;0.21;1.14;6.59
10392;PICCO;2;3;122.46;Austria;0.21;25.72;148.18
10393;SAVEA;1;3;126.56;Estados Unidos;0.21;26.58;153.14
10394;HUNGC;1;3;30.34;Estados Unidos;0.21;6.37;36.71
10395;HILAA;6;1;184.41;Venezuela;0.21;38.73;223.14
10396;FRANK;1;3;135.35;Alemania;0.21;28.42;163.77
10397;PRINI;5;1;60.26;Portugal;0.21;12.65;72.91
10398;SAVEA;2;3;89.16;Estados Unidos;0.21;18.72;107.88
10399;VAFFE;8;3;27.36;Dinamarca;0.21;5.75;33.11
10400;EASTC;1;3;83.93;Reino Unido;0.21;17.63;101.56
10401;RATTC;1;1;12.51;Estados Unidos;0.21;2.63;15.14
10402;ERNSH;8;2;67.88;Austria;0.21;14.25;82.13
10403;ERNSH;4;3;73.79;Austria;0.21;15.50;89.29
10404;MAGAA;2;1;155.97;Italia;0.21;32.75;188.72
10405;LINOD;1;1;34.82;Venezuela;0.21;7.31;42.13
10406;QUEEN;7;1;108.04;Brasil;0.21;22.69;130.73
10407;OTTIK;2;2;91.48;Alemania;0.21;19.21;110.69
10408;FOLIG;8;1;11.26;Francia;0.21;2.36;13.62
10409;OCEAN;3;1;29.83;Argentina;0.21;6.26;36.09
10410;BOTTM;3;3;2.40;Canada;0.21;0.50;2.90
10411;BOTTM;9;3;23.65;Canada;0.21;4.97;28.62
10412;WARTH;8;2;3.77;Finlandia;0.21;0.79;4.56
10413;LAMAI;3;2;95.66;Francia;0.21;20.09;115.75
10414;FAMIA;2;3;21.48;Brasil;0.21;4.51;25.99
10415;HUNGC;3;1;0.20;Estados Unidos;0.21;0.04;0.24
10416;WARTH;8;3;22.72;Finlandia;0.21;4.77;27.49
10417;SIMOB;4;3;70.29;Dinamarca;0.21;14.76;85.05
10418;QUICK;4;1;17.55;Alemania;0.21;3.69;21.24
10419;RICSU;4;2;137.35;Suiza;0.21;28.84;166.19
10420;WELLI;3;1;44.12;Brasil;0.21;9.27;53.39
10421;QUEDE;8;1;99.23;Brasil;0.21;20.84;120.07
10422;FRANS;2;1;3.02;Italia;0.21;0.63;3.65
10423;GOURL;6;3;24.50;Brasil;0.21;5.14;29.64
10424;MEREP;7;2;370.61;Canada;0.21;77.83;448.44
10425;LAMAI;6;2;7.93;Francia;0.21;1.67;9.60
10426;GALED;4;1;18.69;Espanya;0.21;3.92;22.61
10427;PICCO;4;2;31.29;Austria;0.21;6.57;37.86
10428;REGGC;7;1;11.09;Italia;0.21;2.33;13.42
10429;HUNGO;3;2;56.63;Irlanda;0.21;11.89;68.52
10430;ERNSH;4;1;458.78;Austria;0.21;96.34;555.12
10431;BOTTM;4;2;44.17;Canada;0.21;9.28;53.45
10432;SPLIR;3;2;4.34;Estados Unidos;0.21;0.91;5.25
10433;PRINI;3;3;73.83;Portugal;0.21;15.50;89.33
10434;FOLKO;3;2;17.92;Suecia;0.21;3.76;21.68
10435;CONSH;8;2;9.21;Reino Unido;0.21;1.93;11.14
10436;BLONP;3;2;156.66;Francia;0.21;32.90;189.56
10437;WARTH;8;1;19.97;Finlandia;0.21;4.19;24.16
10438;TOMSP;3;2;8.24;Alemania;0.21;1.73;9.97
10439;MEREP;6;3;4.07;Canada;0.21;0.85;4.92
10440;SAVEA;4;2;86.53;Estados Unidos;0.21;18.17;104.70
10441;OLDWO;3;2;73.02;Estados Unidos;0.21;15.33;88.35
10442;ERNSH;3;2;47.94;Austria;0.21;10.07;58.01
10443;REGGC;8;1;13.95;Italia;0.21;2.93;16.88
10444;BERGS;3;3;3.50;Suecia;0.21;0.74;4.24
10445;BERGS;3;1;9.30;Suecia;0.21;1.95;11.25
10446;TOMSP;6;1;14.68;Alemania;0.21;3.08;17.76
10447;RICAR;4;2;68.66;Brasil;0.21;14.42;83.08
10448;RANCH;4;2;38.82;Argentina;0.21;8.15;46.97
10449;BLONP;3;2;53.30;Francia;0.21;11.19;64.49
10450;VICTE;8;2;7.23;Francia;0.21;1.52;8.75
10451;QUICK;4;3;189.09;Alemania;0.21;39.71;228.80
10452;SAVEA;8;1;140.26;Estados Unidos;0.21;29.45;169.71
10453;AROUT;1;2;25.36;Reino Unido;0.21;5.33;30.69
10454;LAMAI;4;3;2.74;Francia;0.21;0.58;3.32
10455;WARTH;8;2;180.45;Finlandia;0.21;37.89;218.34
10456;KOENE;8;2;8.12;Alemania;0.21;1.71;9.83
10457;KOENE;2;1;11.57;Alemania;0.21;2.43;14.00
10458;SUPRD;7;3;147.06;Belgica;0.21;30.88;177.94
10459;VICTE;4;2;25.09;Francia;0.21;5.27;30.36
10460;FOLKO;8;1;16.27;Suecia;0.21;3.42;19.69
10461;LILAS;1;3;148.61;Venezuela;0.21;31.21;179.82
10462;CONSH;2;1;6.17;Reino Unido;0.21;1.30;7.47
10463;SUPRD;5;3;14.78;Belgica;0.21;3.10;17.88
10464;FURIB;4;2;89.00;Portugal;0.21;18.69;107.69
10465;VAFFE;1;3;145.04;Dinamarca;0.21;30.46;175.50
10466;COMMI;4;1;11.93;Brasil;0.21;2.51;14.44
10467;MAGAA;8;2;4.93;Italia;0.21;1.04;5.97
10468;KOENE;3;3;44.12;Alemania;0.21;9.27;53.39
10469;WHITC;1;1;60.18;Estados Unidos;0.21;12.64;72.82
10470;BONAP;4;2;64.56;Francia;0.21;13.56;78.12
10471;BSBEV;2;3;45.59;Reino Unido;0.21;9.57;55.16
10472;SEVES;8;1;4.20;Reino Unido;0.21;0.88;5.08
10473;ISLAT;1;3;16.37;Reino Unido;0.21;3.44;19.81
10474;PERIC;5;2;83.49;Mexico;0.21;17.53;101.02
10475;SUPRD;9;1;68.52;Belgica;0.21;14.39;82.91
10476;HILAA;8;3;4.41;Venezuela;0.21;0.93;5.34
10477;PRINI;5;2;13.02;Portugal;0.21;2.73;15.75
10478;VICTE;2;3;4.81;Francia;0.21;1.01;5.82
10479;RATTC;3;3;708.95;Estados Unidos;0.21;148.88;857.83
10480;FOLIG;6;2;1.35;Francia;0.21;0.28;1.63
10481;RICAR;8;2;64.33;Brasil;0.21;13.51;77.84
10482;LAZYK;1;3;7.48;Estados Unidos;0.21;1.57;9.05
10483;WHITC;7;2;15.28;Estados Unidos;0.21;3.21;18.49
10484;BSBEV;3;3;6.88;Reino Unido;0.21;1.44;8.32
10485;LINOD;4;2;64.45;Venezuela;0.21;13.53;77.98
10486;HILAA;1;2;30.53;Venezuela;0.21;6.41;36.94
10487;QUEEN;2;2;71.07;Brasil;0.21;14.92;85.99
10488;FRANK;8;2;4.93;Alemania;0.21;1.04;5.97
10489;PICCO;6;2;5.29;Austria;0.21;1.11;6.40
10490;HILAA;7;2;210.19;Venezuela;0.21;44.14;254.33
10491;FURIB;8;3;16.96;Portugal;0.21;3.56;20.52
10492;BOTTM;3;1;62.89;Canada;0.21;13.21;76.10
10493;LAMAI;4;3;10.64;Francia;0.21;2.23;12.87
10494;COMMI;4;2;65.99;Brasil;0.21;13.86;79.85
10495;LAUGB;3;3;4.65;Canada;0.21;0.98;5.63
10496;TRADH;7;2;46.77;Brasil;0.21;9.82;56.59
10497;LEHMS;7;1;36.21;Alemania;0.21;7.60;43.81
10498;HILAA;8;2;29.75;Venezuela;0.21;6.25;36.00
10499;LILAS;4;2;102.02;Venezuela;0.21;21.42;123.44
10500;LAMAI;6;1;42.68;Francia;0.21;8.96;51.64
10501;BLAUS;9;3;8.85;Alemania;0.21;1.86;10.71
10502;PERIC;2;1;69.32;Mexico;0.21;14.56;83.88
10503;HUNGO;6;2;16.74;Irlanda;0.21;3.52;20.26
10504;WHITC;4;3;59.13;Estados Unidos;0.21;12.42;71.55
10505;MEREP;3;3;7.13;Canada;0.21;1.50;8.63
10506;KOENE;9;2;21.19;Alemania;0.21;4.45;25.64
10507;ANTON;7;1;47.45;Mexico;0.21;9.96;57.41
10508;OTTIK;1;2;4.99;Alemania;0.21;1.05;6.04
10509;BLAUS;4;1;0.15;Alemania;0.21;0.03;0.18
10510;SAVEA;6;3;367.63;Estados Unidos;0.21;77.20;444.83
10511;BONAP;4;3;350.64;Francia;0.21;73.63;424.27
10512;FAMIA;7;2;3.53;Brasil;0.21;0.74;4.27
10513;WANDK;7;1;105.65;Alemania;0.21;22.19;127.84
10514;ERNSH;3;2;789.95;Austria;0.21;165.89;955.84
10515;QUICK;2;1;204.47;Alemania;0.21;42.94;247.41
10516;HUNGO;2;3;62.78;Irlanda;0.21;13.18;75.96
10517;NORTS;3;3;32.07;Reino Unido;0.21;6.73;38.80
10518;TORTU;4;2;218.15;Mexico;0.21;45.81;263.96
10519;CHOPS;6;3;91.76;Suiza;0.21;19.27;111.03
10520;SANTG;7;1;13.37;Noruega;0.21;2.81;16.18
10521;CACTU;8;2;17.22;Argentina;0.21;3.62;20.84
10522;LEHMS;4;1;45.33;Alemania;0.21;9.52;54.85
10523;SEVES;7;2;77.63;Reino Unido;0.21;16.30;93.93
10524;BERGS;1;2;244.79;Suecia;0.21;51.41;296.20
10525;BONAP;1;2;11.06;Francia;0.21;2.32;13.38
10526;WARTH;4;2;58.59;Finlandia;0.21;12.30;70.89
10527;QUICK;7;1;41.90;Alemania;0.21;8.80;50.70
10528;GREAL;6;2;3.35;Estados Unidos;0.21;0.70;4.05
10529;MAISD;5;2;66.69;Belgica;0.21;14.00;80.69
10530;PICCO;3;2;339.22;Austria;0.21;71.24;410.46
10531;OCEAN;7;1;8.12;Argentina;0.21;1.71;9.83
10532;EASTC;7;3;74.46;Reino Unido;0.21;15.64;90.10
10533;FOLKO;8;1;188.04;Suecia;0.21;39.49;227.53
10534;LEHMS;8;2;27.94;Alemania;0.21;5.87;33.81
10535;ANTON;4;1;15.64;Mexico;0.21;3.28;18.92
10536;LEHMS;3;2;58.88;Alemania;0.21;12.36;71.24
10537;RICSU;1;1;78.85;Suiza;0.21;16.56;95.41
10538;BSBEV;9;3;4.87;Reino Unido;0.21;1.02;5.89
10539;BSBEV;6;3;12.36;Reino Unido;0.21;2.60;14.96
10540;QUICK;3;3;1007.64;Alemania;0.21;211.60;1219.24
10541;HANAR;2;1;68.65;Brasil;0.21;14.42;83.07
10542;KOENE;1;3;10.95;Alemania;0.21;2.30;13.25
10543;LILAS;8;2;48.17;Venezuela;0.21;10.12;58.29
10544;LONEP;4;1;24.91;Estados Unidos;0.21;5.23;30.14
10545;LAZYK;8;2;11.92;Estados Unidos;0.21;2.50;14.42
10546;VICTE;1;3;194.72;Francia;0.21;40.89;235.61
10547;SEVES;3;2;178.43;Reino Unido;0.21;37.47;215.90
10548;TOMSP;3;2;1.43;Alemania;0.21;0.30;1.73
10549;QUICK;5;1;171.24;Alemania;0.21;35.96;207.20
10550;GODOS;7;3;4.32;Espanya;0.21;0.91;5.23
10551;FURIB;4;3;72.95;Portugal;0.21;15.32;88.27
10552;HILAA;2;1;83.22;Venezuela;0.21;17.48;100.70
10553;WARTH;2;2;149.49;Finlandia;0.21;31.39;180.88
10554;OTTIK;4;3;120.97;Alemania;0.21;25.40;146.37
10555;SAVEA;6;3;252.49;Estados Unidos;0.21;53.02;305.51
10556;SIMOB;2;1;9.80;Dinamarca;0.21;2.06;11.86
10557;LEHMS;9;2;96.72;Alemania;0.21;20.31;117.03
10558;AROUT;1;2;72.97;Reino Unido;0.21;15.32;88.29
10559;BLONP;6;1;8.05;Francia;0.21;1.69;9.74
10560;FRANK;8;1;36.65;Alemania;0.21;7.70;44.35
10561;FOLKO;2;2;242.21;Suecia;0.21;50.86;293.07
10562;REGGC;1;1;22.95;Italia;0.21;4.82;27.77
10563;RICAR;2;2;60.43;Brasil;0.21;12.69;73.12
10564;RATTC;4;3;13.75;Estados Unidos;0.21;2.89;16.64
10565;MEREP;8;2;7.15;Canada;0.21;1.50;8.65
10566;BLONP;9;1;88.40;Francia;0.21;18.56;106.96
10567;HUNGO;1;1;33.97;Irlanda;0.21;7.13;41.10
10568;GALED;3;3;6.54;Espanya;0.21;1.37;7.91
10569;RATTC;5;1;58.98;Estados Unidos;0.21;12.39;71.37
10570;MEREP;3;3;188.99;Canada;0.21;39.69;228.68
10571;ERNSH;8;3;26.06;Austria;0.21;5.47;31.53
10572;BERGS;3;2;116.43;Suecia;0.21;24.45;140.88
10573;ANTON;7;3;84.84;Mexico;0.21;17.82;102.66
10574;TRAIH;4;2;37.60;Estados Unidos;0.21;7.90;45.50
10575;MORGK;5;1;127.34;Alemania;0.21;26.74;154.08
10576;TORTU;3;3;18.56;Mexico;0.21;3.90;22.46
10577;TRAIH;9;2;25.41;Estados Unidos;0.21;5.34;30.75
10578;BSBEV;4;3;29.60;Reino Unido;0.21;6.22;35.82
10579;LETSS;1;2;13.73;Estados Unidos;0.21;2.88;16.61
10580;OTTIK;4;3;75.89;Alemania;0.21;15.94;91.83
10581;FAMIA;3;1;3.01;Brasil;0.21;0.63;3.64
10582;BLAUS;3;2;27.71;Alemania;0.21;5.82;33.53
10583;WARTH;2;2;7.28;Finlandia;0.21;1.53;8.81
10584;BLONP;4;1;59.14;Francia;0.21;12.42;71.56
10585;WELLI;7;1;13.41;Brasil;0.21;2.82;16.23
10586;REGGC;9;1;0.48;Italia;0.21;0.10;0.58
10587;QUEDE;1;1;62.52;Brasil;0.21;13.13;75.65
10588;QUICK;2;3;194.67;Alemania;0.21;40.88;235.55
10589;GREAL;8;2;4.42;Estados Unidos;0.21;0.93;5.35
10590;MEREP;4;3;44.77;Canada;0.21;9.40;54.17
10591;VAFFE;1;1;55.92;Dinamarca;0.21;11.74;67.66
10592;LEHMS;3;1;32.10;Alemania;0.21;6.74;38.84
10593;LEHMS;7;2;174.20;Alemania;0.21;36.58;210.78
10594;OLDWO;3;2;5.24;Estados Unidos;0.21;1.10;6.34
10595;ERNSH;2;1;96.78;Austria;0.21;20.32;117.10
10596;WHITC;8;1;16.34;Estados Unidos;0.21;3.43;19.77
10597;PICCO;7;3;35.12;Austria;0.21;7.38;42.50
10598;RATTC;1;3;44.42;Estados Unidos;0.21;9.33;53.75
10599;BSBEV;6;3;29.98;Reino Unido;0.21;6.30;36.28
10600;HUNGC;4;1;45.13;Estados Unidos;0.21;9.48;54.61
10601;HILAA;7;1;58.30;Venezuela;0.21;12.24;70.54
10602;VAFFE;8;2;2.92;Dinamarca;0.21;0.61;3.53
10603;SAVEA;8;2;48.77;Estados Unidos;0.21;10.24;59.01
10604;FURIB;1;1;7.46;Portugal;0.21;1.57;9.03
10605;MEREP;1;2;379.13;Canada;0.21;79.62;458.75
10606;TRADH;4;3;79.40;Brasil;0.21;16.67;96.07
10607;SAVEA;5;1;200.24;Estados Unidos;0.21;42.05;242.29
10608;TOMSP;4;2;27.79;Alemania;0.21;5.84;33.63
10609;DUMON;7;2;1.85;Francia;0.21;0.39;2.24
10610;LAMAI;8;1;26.78;Francia;0.21;5.62;32.40
10611;WOLZA;6;2;80.65;Polonia;0.21;16.94;97.59
10612;SAVEA;1;2;544.08;Estados Unidos;0.21;114.26;658.34
10613;HILAA;4;2;8.11;Venezuela;0.21;1.70;9.81
10614;BLAUS;8;3;1.93;Alemania;0.21;0.41;2.34
10615;WILMK;2;3;0.75;Finlandia;0.21;0.16;0.91
10616;GREAL;1;2;116.53;Estados Unidos;0.21;24.47;141.00
10617;GREAL;4;2;18.53;Estados Unidos;0.21;3.89;22.42
10618;MEREP;1;1;154.68;Canada;0.21;32.48;187.16
10619;MEREP;3;3;91.05;Canada;0.21;19.12;110.17
10620;LAUGB;2;3;0.94;Canada;0.21;0.20;1.14
10621;ISLAT;4;2;23.73;Reino Unido;0.21;4.98;28.71
10622;RICAR;4;3;50.97;Brasil;0.21;10.70;61.67
10623;FRANK;8;2;97.18;Alemania;0.21;20.41;117.59
10624;THECR;4;2;94.80;Estados Unidos;0.21;19.91;114.71
10625;ANATR;3;1;43.90;Mexico;0.21;9.22;53.12
10626;BERGS;1;2;138.69;Suecia;0.21;29.12;167.81
10627;SAVEA;8;3;107.46;Estados Unidos;0.21;22.57;130.03
10628;BLONP;4;3;30.36;Francia;0.21;6.38;36.74
10629;GODOS;4;3;85.46;Espanya;0.21;17.95;103.41
10630;KOENE;1;2;32.35;Alemania;0.21;6.79;39.14
10631;LAMAI;8;1;0.87;Francia;0.21;0.18;1.05
10632;WANDK;8;1;41.38;Alemania;0.21;8.69;50.07
10633;ERNSH;7;3;477.90;Austria;0.21;100.36;578.26
10634;FOLIG;4;3;487.38;Francia;0.21;102.35;589.73
10635;MAGAA;8;3;47.46;Italia;0.21;9.97;57.43
10636;WARTH;4;1;1.15;Finlandia;0.21;0.24;1.39
10637;QUEEN;6;1;201.29;Brasil;0.21;42.27;243.56
10638;LINOD;3;1;158.44;Venezuela;0.21;33.27;191.71
10639;SANTG;7;3;38.64;Noruega;0.21;8.11;46.75
10640;WANDK;4;1;23.55;Alemania;0.21;4.95;28.50
10641;HILAA;4;2;179.61;Venezuela;0.21;37.72;217.33
10642;SIMOB;7;3;41.89;Dinamarca;0.21;8.80;50.69
10643;ALFKI;6;2;29.46;Alemania;0.21;6.19;35.65
10644;WELLI;3;2;0.14;Brasil;0.21;0.03;0.17
10645;HANAR;4;1;12.41;Brasil;0.21;2.61;15.02
10646;HUNGO;9;3;142.33;Irlanda;0.21;29.89;172.22
10647;QUEDE;4;2;45.54;Brasil;0.21;9.56;55.10
10648;RICAR;5;2;14.25;Brasil;0.21;2.99;17.24
10649;MAISD;5;3;6.20;Belgica;0.21;1.30;7.50
10650;FAMIA;5;3;176.81;Brasil;0.21;37.13;213.94
10651;WANDK;8;2;20.60;Alemania;0.21;4.33;24.93
10652;GOURL;4;2;7.14;Brasil;0.21;1.50;8.64
10653;FRANK;1;1;93.25;Alemania;0.21;19.58;112.83
10654;BERGS;5;1;55.26;Suecia;0.21;11.60;66.86
10655;REGGC;1;2;4.41;Italia;0.21;0.93;5.34
10656;GREAL;6;1;57.15;Estados Unidos;0.21;12.00;69.15
10657;SAVEA;2;2;352.69;Estados Unidos;0.21;74.06;426.75
10658;QUICK;4;1;364.15;Alemania;0.21;76.47;440.62
